title,link,event,,,,,,,,,,,,,,,
又是美好的一天！期待加密市场的爆发！,https://mirror.xyz/0x626125D30A86D3B069dcc3A72c81E4174A4EAF90/bLGDEIFX0Nncjdq1sG36OaJ75UUU09Nbe0akk6Yz3r8,,,,,,,,,,,,,,,,
The point of maximum leverage,https://mirror.xyz/0xA79b1280649589F743FB3cAB5296b5567f3621D3/5J7YjeUKCndJbSPz0zdNYCXjt0a9P1amFj3F3_CxGCg,,,,,,,,,,,,,,,,
HyperPay研究院 | 解读借贷协议Euler协议的创新,https://mirror.xyz/0xD31623072b391CB139DECC0DcA87c18352f1dD99/uqIpcIHWkLfhb4Lx4bPNOD4OTtkuGcW9ulSH7yvlP_s,,,,,,,,,,,,,,,,
be optimistic,https://mirror.xyz/0x708DDD053E1cBE974117094f41Dede5826A2328e/xVg20BpdoFQjk_rFYaOwGSkcWxLuaVx7NJrWD-B9Xnc,,,,,,,,,,,,,,,,
"Truth is elusive, but it isn’t evasive",https://mirror.xyz/0x10b589852cADcec648a687b94F17142954FcAB3f/9mxXXr0-LcW3kDnpoJAOFgZb-2L73vFhz47SYsxt0Dg,,,,,,,,,,,,,,,,
about leadship,https://mirror.xyz/0xf593141E3A588788634263fdaB539FE2F863F839/_y8TXR5gR5LQ8Y8zTq5vwwiCrdTjj5GDfD2_9raldNg,,,,,,,,,,,,,,,,
山中杏林养智慧,https://mirror.xyz/0xc1274C62cC4BCABA5d1cf3298638a0EA8e35e1Da/lJM0T8hea_573gSwgzdLESzV2msvzAfnj_1PSDMxluE,,,,,,,,,,,,,,,,
good thoughts,https://mirror.xyz/0xef0C27aa08e54Bd0C5a890116b244Da6e7ee306A/lhLtkwnO0-WZMgsCNWRsetF1Tedb0Lu8A4te4EUYhl0,,,,,,,,,,,,,,,,
always ask,https://mirror.xyz/0x822c798ff7De0114FC405e3402A589c14B6E9A84/UYabrRriRa0kMjPPf--ETCB5utBesL-SBqqbn0tNT4I,,,,,,,,,,,,,,,,
always have a dream,https://mirror.xyz/0x10b589852cADcec648a687b94F17142954FcAB3f/bFOGuwLLy4jxWLlfmYdv-sSY1BoyUrllj_SV3jeUwXA,,,,,,,,,,,,,,,,
传统VC投资人：我为什么要去Gitcoin DAO工作,https://mirror.xyz/0x49905fA9D27D1dbD8e943586219ea8D3840700Bf/-7tZLdqLyGftffnNB_CW_2AZs69hIL1QuVLB6ZrA41I,,,,,,,,,,,,,,,,
爆发在即的赛道：十大生态30家常用跨链桥盘点,https://mirror.xyz/0x9AB76cf454Fe1D4185293ebd497AeC5E0Bfd2e43/7Q0In0EStnZBxz2BZdROImk5u02HFgSgGlYB51oq38A,,,,,,,,,,,,,,,,
good projects,https://mirror.xyz/0xeC5955dAaAd7613f856468572A0Fd5CbE3F8c551/4K_d7ytMvOvaILjBW90SMUWr7BXoInkyQ73wxRjuxyI,,,,,,,,,,,,,,,,
My first footprint in web3.0,https://mirror.xyz/0xD589a999B7F71365939bC2a96249e2B9ea315685/x4onalVdj6wLtK8Mzb48pUPoUK8vZhnX-ZtQk8NYT5A,,,,,,,,,,,,,,,,
School vs. progress,https://mirror.xyz/0x7C8d9c23586412218BA3de39b27cba3bB0A8AE3F/KIi-AaXMh4Ig8-YYw_3da3-IdYVVKptcoNxNDQJ15SQ,,,,,,,,,,,,,,,,
CronaSwap介绍,https://mirror.xyz/0x2145814E43A49844d7F03a4d00FC240C7C8e329B/xuvWuTPfvvzMPoA53_4is9RwcmuQp1kA7mnspBqoPSw,,,,,,,,,,,,,,,,
我心中的NFT-PAK,https://mirror.xyz/0x0F9F2D0E47b102Bb44C34c371346d9e08aE3eE97/yA4RaXHjkOpIlguLFi_ZxlkSF9XUibl1j03BggC39MM,,,,,,,,,,,,,,,,
CryptoPaperClip — I made this NFT and want to play a game. Let's swap it for another one!,https://mirror.xyz/0x32Fc085cF787868bbFF0f6bb90631F897d58aB81/-YoCt8eJXMttWTHY14m4UmtDHZ4w7PODK10PbehjbPk,,,,,,,,,,,,,,,,
vikrant yadav,https://mirror.xyz/0xA5d9FE417cA28864CaF1865DBf28223a4c4665A4/eVpA_RZwLW5nhDSNjrBAi4WIdumcAobVKPIDKlnSeqo,,,,,,,,,,,,,,,,
About life,https://mirror.xyz/0xE7ea3126B4Eee04F0a2497872DF2e654925724C2/r8ewq8XqvMtHv94bnPLzwptpr52-V6GbWZ07gsn3r-I,,,,,,,,,,,,,,,,
Hello World!,https://mirror.xyz/0xf3F527B70aF6012F328D3edE7fCd3F5F3Ca6CBA2/9zoQm03--kq0cqI5KV9MduU2v8SFkKytGntV7PgRGAU,,,,,,,,,,,,,,,,
錢錢往哪跑？手把手教你用鏈上數據分析工具-Footprint Analytics - SLK停損王 - Medium,https://mirror.xyz/0xb885A306bA1e91Daf4D1798998ff2aF25273ac99/bZxaR0uU4wP5LIfS-I0DinF4PNxRoWU_a_N692sUGiE,,,,,,,,,,,,,,,,
投资想法,https://mirror.xyz/0x0BaD412E72eC0Ead80BD5441F33561bA59918E04/EPK-jf0AuddujRwm1LV6PTFlKDUUE4dQQFoyg62sEJI,,,,,,,,,,,,,,,,
ETHEREUM: FINANCING THE FUTURE OF THE INTERNET,https://mirror.xyz/0xcdED4644E025E9792352CEe1B31F410Adb7c9FC6/6VHi1XYC-v2r5h9isGgO5yCUkeSWMmyr_vEclLUmOj0,,,,,,,,,,,,,,,,
"Good evening, everybody.",https://mirror.xyz/0xB871e32DA1D326592EbbFAf70588329d875a1DD9/pcNGFBsh7qybAYCsjmqVn_OhJuNGgLv8qlgx2kWBT6g,,,,,,,,,,,,,,,,
和一个刚进币圈分析师小兄弟的交流——论新人在2021年币圈的社交,https://mirror.xyz/0x41A2F513BB1433d306da5DE5a537CCa75ec9e073/sGPoqAOQs5TLCr1ntSQH2sb5bt3bXTk3xT1cJlOrBms,,,,,,,,,,,,,,,,
跨链,https://mirror.xyz/0x2145814E43A49844d7F03a4d00FC240C7C8e329B/wEQmdWL-vKY8vdCYhWQCofucTGGuothJEVipsS_LeZw,,,,,,,,,,,,,,,,
icp第一个gamefi游戏Cronic即将上线,https://mirror.xyz/0x6BC757849658C8724ea165d74a6DAADb8fFD51dd/yh3bnGXR2XsFWFjMrmf3j3og9J0vfAdu-7m1VnLRL0U,,,,,,,,,,,,,,,,
法官未审先判“他（上诉人）把我们（法官）都搞成精神病啦”,https://mirror.xyz/0xf0246bDD54bF90dbBcc30605E4649F0B416c5EeF/QGws63gI0GQvtMmZOmEklA0PfFn7t64_41UJmgnxOtc,,,,,,,,,,,,,,,,
币圈追热点和独立研究,https://mirror.xyz/0x41A2F513BB1433d306da5DE5a537CCa75ec9e073/AY_fiLPs0MtiTiFba1tTGRxRANj9wHWGf8stnlR0ccI,,,,,,,,,,,,,,,,
重新回到天涯,https://mirror.xyz/0xD45c8fFA20A0B2c5204eD356C9983594d330fA6A/WsV9l5mvC4f2RB1igfTjU-D-1B_BPD332yuOo-QhcfM,,,,,,,,,,,,,,,,
thoughts from Lakers home named after a new cryptocurrency exchange,https://mirror.xyz/0xCf6C9980cDBbc3aBDcC2ef896323FcDBb6159DF1/qEcSy-z4u9lK4RVE15Cb9qNXXIWJUjOhPSmeZAVcjZk,,,,,,,,,,,,,,,,
Schnorr 开启多签时代,https://mirror.xyz/0x8B00cEE42f226B340aF806CD7aaA4c10cc5E0154/bo67C5yIzT45np70vsN2jzSvZ_dDaqFMBPIA05OHe28,,,,,,,,,,,,,,,,
Uniswap V3 LP 净收益不及 HODLer？速览这份无常损失分析报告,https://mirror.xyz/0x121577842D4F169A07289367bF3c45cD6bF7d2C5/j_Oy5sA00OiNx1aG6klz4CddZysp1T4677moDgCJcmM,,,,,,,,,,,,,,,,
和传统游戏从业者的交流（2）对于一篇文章观点的讨论,https://mirror.xyz/0x41A2F513BB1433d306da5DE5a537CCa75ec9e073/88DZxQUhK9Zer1bLUXifMDGg6IwadWBGZM9pWdHHxfs,,,,,,,,,,,,,,,,
小鹏汽车推出官方二手车业务，并发布SUV新旗舰G9,https://mirror.xyz/0xb95370817a9C78b8eFF7cB97b73436873287a32D/UYceAWhy3zMVKVIZPBpwrD0-dB57TYjXta1PIAM0hRQ,,,,,,,,,,,,,,,,
未来几个可能的空投,https://mirror.xyz/0x48C4A0076FA39CE2f229c80751638872e66278Ce/XqAXrDbIUcY0yT3b--IWWrwauNaKpoyvXIep2EsliQo,,,,,,,,,,,,,,,,
"证监会出手：立案调查，""一字跌停""！8万股民懵了",https://mirror.xyz/0x62c0be315d417280B07FD4043f0E78d7526Ee530/XKOsWaSyZ-L5JY6tSU6MW02yKlWROii9vMRU8SLtdQU,,,,,,,,,,,,,,,,
“榨菜茅”的投资逻辑,https://mirror.xyz/0xF10bCad41df6d99A908C3a2E88081F0FEDb028Ad/coojQ0Hj-g0BHuZqmrHVHHCVwpn6HoSKgpSLN0xZ4Sw,,,,,,,,,,,,,,,,
拜登“铁拳”有效？油价已较高点回调7%,https://mirror.xyz/0x1275811219D7718bA7Bcf6561a63D8589eC10F54/lqHj-sx6vROyr5GqpVAlGNM_D9_fof9FKPrzscYW9gE,,,,,,,,,,,,,,,,
百度广告为AI输血，但重塑新的增长变量有点难,https://mirror.xyz/0x42419CaD559A52b8bD6e99A6f7AF76159218722B/dGnckFObVVTqPrVnYvZuC8Qod13Jv7-6dm8pMTJ2a3g,,,,,,,,,,,,,,,,
苹果加快造车步伐，科技巨头为何涌入电动车赛道？,https://mirror.xyz/0x109647818dd1440cdb95be132E96d3C09F43CEc1/ydzTyEK1YU7KUduMqbqGwYQmny1O9REfWy6o4o4bNnQ,,,,,,,,,,,,,,,,
韦德布什：科技股牛市将持续，纳指明年有望涨近20%,https://mirror.xyz/0x089D6fEDbFEd2cf87595abD01DABd45de45455AB/M8EuC4laUTVxpR6hDzG04BI6j1ca7d92OV-OcZ-NQYk,,,,,,,,,,,,,,,,
IMF：全球部分地区通胀恐会更持久，各国央行须保持警惕,https://mirror.xyz/0xaF75BE20b68323C49148170331622E889Ce39DC4/ZNf28QccEkec7AS0XvuEPD4QAWKivjKr0c5560CN4b0,,,,,,,,,,,,,,,,
小米成立第二家汽车公司，注册资本10亿元,https://mirror.xyz/0x14490b9fc2A2e7C52d1c096BD840cfC79285b58d/lILfOc3U5dhZ8lQuOEBUPTsmsXwJHPt7WMnczZTh_Vo,,,,,,,,,,,,,,,,
Encrypto Dairy 10,https://mirror.xyz/0xb9b6b53c1fF32BeeFd41aB71d34BC300A35B617d/fq1mJNeXcLzKlbrCm3TF9npaGeAlYb_yNEPF_i4fTKA,,,,,,,,,,,,,,,,
Win starsharks,https://mirror.xyz/0x1253c4E3856bC7f7cD443a34F7aF17ba9Ada249E/kCpwVEhWBj_7tRQfkjBkloiMRaugxCVdm0KTh1CKXDk,,,,,,,,,,,,,,,,
三季报哀鸿遍野，京东扛住了,https://mirror.xyz/0x58C775af9296d634F02ec9A18198906DF84Fb43B/EcWLDaEKITCbv79vkuuTsK_w1T1HiUktfWSNB7IyYpk,,,,,,,,,,,,,,,,
锂电池何时被超越？,https://mirror.xyz/0x715210dA31165a05a2481A512E1c3D253D8E13fF/QDmmf6jl_zfHsEHlHWC2DznGToDX0Q19WKqyQ0bUqoA,,,,,,,,,,,,,,,,
中金：恒指及港股通三季度调整预览,https://mirror.xyz/0x2943EA8B50ba884a253286870b34279450BBa4E1/WG0iyrMUzWRD01vST2sB_VgYcKww7dJur-VyxO3iM2k,,,,,,,,,,,,,,,,
Matcha：按Paraswap的标准，换个姿势，再来一次！,https://mirror.xyz/0x2ABF33485eDf704511dFA42DFB8AFa71a0450A8E/dHUmTER0AdhaVZ1ADAlQwHLdvImPKZj_y6gdXZRzEX8,,,,,,,,,,,,,,,,
联想自研芯片？,https://mirror.xyz/0xA8Fe82a8a726aAc05c4CB7F336989b5535cE46c5/kTITVtyPx-LMLIBnIb7EfSepoKjBMkFl-jZbXVvCQdQ,,,,,,,,,,,,,,,,
行走笔记：博弈论视角下的算法稳定模型分析,https://mirror.xyz/0x41bac86016bddB906C5ec810aEc80f8dfecCD043/9RVRxdqPrNOXP4F8Lj-Lezw5qJa0Sn8kJvBxgr7DGSI,,,,,,,,,,,,,,,,
酸奶品牌Chobani冲刺纳斯达克：估值或超100亿美元,https://mirror.xyz/0x3cd411AFcC7d02BbE54D345602F5ed3Cf80D1C7C/T_xmCB5be9nYXssoI5nqUg9iUJeJi0S58d9UbFqEXb0,,,,,,,,,,,,,,,,
8家全售罄！首批北交所基金热销：半天狂卖至少80亿,https://mirror.xyz/0xa4303850AA2aE3e7396F28814402D22B1615810C/fINScTYLLXrl7_kXtC_hFJOsTyZPNR5u2uhE--V6kfY,,,,,,,,,,,,,,,,
天下没有好做的生意了，包括阿里自己,https://mirror.xyz/0x5B9045ADFAf64f84f9E7eeFC32CaFD7A5ebf0fa3/DBAxyGXIgZktBax27Yo5efIWjw6ObtQWt0U4wXaCNV8,,,,,,,,,,,,,,,,
Fisherman and the Sea,https://mirror.xyz/0x75E0817BaAc25Ac38b2964e52dE6547c3E3F0c82/tlpMPVM3PBEOgO-r-uj26dUpZOkH4cNNPGxQ1v7wel0,,,,,,,,,,,,,,,,
理解比特币白皮书：最远的路，或许是最快的路,https://mirror.xyz/0x8B00cEE42f226B340aF806CD7aaA4c10cc5E0154/nboP07rjGiaz49xDA38FErElU5HpB-5eclVYk-uMwQU,,,,,,,,,,,,,,,,
传统VC投资人：我为什么要去Gitcoin DAO工作？,https://mirror.xyz/0x2449f5E899597812C8c4Ea5CD7697bC27A66261b/j-Aaw5XnQNOOHo_7v9aG0EyV8RnUyncCt9QI5MMgWYY,,,,,,,,,,,,,,,,
Mirror NFT,https://mirror.xyz/0x8C913F57Ca6507E5D6ED892661d918b29a4ba107/S7QdoDWWOtkReyQJf4mHL0omsEdxVVZgaNP5yiITq30,,,,,,,,,,,,,,,,
Beavdog NFT,https://mirror.xyz/0x094C062097005cC9fcB020F6bE765A5Fc47B01Bb/CB2lRV9H9ilXK6NWT49gicsjFZjC0UdS3T-iHOtZVWw,,,,,,,,,,,,,,,,
First time using mirror,https://mirror.xyz/0x8C913F57Ca6507E5D6ED892661d918b29a4ba107/5B9zx47LKnALd1kKeIrHZ1Tu7qC9WtNVM5yR4WOGOPM,,,,,,,,,,,,,,,,
每天都在亏钱,https://mirror.xyz/0x06F398ce76aCc1fCE97B7Cab0eb2a96BA9230c9b/YFbHa69qyTzcgiKYwvlvVAXpNy7ZZ6qjl9sZgGU0oS0,,,,,,,,,,,,,,,,
Hello world,https://mirror.xyz/0x258D9aeF9184d9e21f9b882E243c42fAC1466A59/IQ0I7wejG4KxrikgnlZBkj3gkteFEsM5unnOWV9HqI4,,,,,,,,,,,,,,,,
大饼,https://mirror.xyz/0x9b5f1213167cb23532791f1448aA6a04467e17BB/CH_qEJeXJQJANNV9O-sDVk4R9AyoRIfBINIPboTmlkk,,,,,,,,,,,,,,,,
Hello World,https://mirror.xyz/0xad3284c0b8bb49Cba7117BE72c3d575E0C1D0d54/9SRLYzPovOs7osggbqpZDz3orQf-IZEk3Fp0FnbNYw0,,,,,,,,,,,,,,,,
NFTs: what are they? (3 theories),https://mirror.xyz/0xc61288821b4722Ce29249F0BA03b633F0bE46a5A/27FufNG1F05zHJJxAR-DLs6W56xHMg6MlWV-oZFJLOw,,,,,,,,,,,,,,,,
a16z 领投的去中心化社交媒体协议 Mem Protocol 如何打造 Web 3 社交图谱？,https://mirror.xyz/0x121577842D4F169A07289367bF3c45cD6bF7d2C5/AUaXRxFbwMvGXV7XC_3lrYsnhT8Tx4Tya7IM0bDUVc4,,,,,,,,,,,,,,,,
去中心化的外汇结算协议Fixed Forex,https://mirror.xyz/0x5439a6446dc63aB1AB3E1AFdBACb308A0D1DB71B/pF68Wwao0mJ13x2kfHTorP568Zaw5l5agqnmew66P9I,,,,,,,,,,,,,,,,
Testing Mirror,https://mirror.xyz/0xE7ea3126B4Eee04F0a2497872DF2e654925724C2/T3WAQjzOfS3kggicfLruuT7N1bMGSetEelKUOx2iuhY,,,,,,,,,,,,,,,,
《一一》台詞,https://mirror.xyz/0x15e4205dB728BB397647bb0C0e8E1d09d1d2E4e6/fyqxyBKnNwQGsIZtLz3STBQSIcVn83ZRm-CaupgXZz4,,,,,,,,,,,,,,,,
Evmos Olympus测试网提交gentx,https://mirror.xyz/0x0Dbb0CfF7C9515FC56d352EE37AeeEfdF43B25Fe/bqAO50SYWIBHpxKhQHAGjCaFWGnviFKyOCh4dmVbCiE,,,,,,,,,,,,,,,,
Nieve,https://mirror.xyz/0x62e270a050F6145975883201a047433aA3143598/5opettGWOOYlIhXGbz20xlpKcwqeNL4yo9DGRaV0OaA,,,,,,,,,,,,,,,,
昨天笑嘻嘻，今天哭啼啼~,https://mirror.xyz/0x8c902B8839010BB1761201d42f788e7eD9FCFD77/vWaraYQUL-f4g87pMbSAkEYZ_6mCRWVkV5uNNqGarjo,,,,,,,,,,,,,,,,
BTC&ETH交易所存量暂时降至低点 周末继续面临资金问题 — 2021.11.19,https://mirror.xyz/0xb6107ea5fa2e4Df4e00Cd763fF4EBbA3f9A7cFa6/sHgDyMlFh6OUN4bgUIZqtMZB6JNsaSy2iaXB7mHonT8,,,,,,,,,,,,,,,,
"Metaverse Industry Information
11.19",https://mirror.xyz/0xf8e750C22918B1A727Cd6A518E4347De10564A2d/E9R-lu3qtOUwwJnlRyTZ69LdkXadKIsoaHge8byXMJI,,,,,,,,,,,,,,,,
BTC&ETH交易所存量暂时降至低点 周末继续面临资金问题 - 2021.11.19,https://mirror.xyz/0xdDa424d9bB3140bE68b0AAadCaf7CADf7c36A046/HDNVuyzKLCSI0oa2v9_zJTagYDFejaYdnLtjNY9nGqA,,,,,,,,,,,,,,,,
Web3.0,https://mirror.xyz/0xAcE32E36e3f0EBF08c793Bcf390e42831C5DD449/wj-VAkdE0CaZnH155JiCPy2n9WBnfzF0YqsQqAB1h5Y,,,,,,,,,,,,,,,,
全球变暖的原因,https://mirror.xyz/0xe9F769a39ADA551ccBe6e517dCA0aaCFE759c84D/gDkoDcgBQUwtcc4pr4UiDkLYwlWRYJy3WF9P4Ex-Z7k,,,,,,,,,,,,,,,,
全国人口出生率再创新低，人口专家：负增长可能提前,https://mirror.xyz/0xe9F769a39ADA551ccBe6e517dCA0aaCFE759c84D/AtlHIsRRXxuUk_mNoteo8nUDir0pUS3GhUmli8xlwL8,,,,,,,,,,,,,,,,
苹果市值再登顶！热门中概大多走低，今天买点啥呢？,https://mirror.xyz/0x987f05B5eEB8B30b02329D3888bebc3a7424e999/aF4QV2GI29HlKT9hxlNbW68RnT4EkPuvF2Ai1PVkK40,,,,,,,,,,,,,,,,
2019（第五届）深海能源大会，在海南板块已经被禁言,https://mirror.xyz/0x69f8EdC0C618A2242C1806c17F4444e3802bBdE0/CRvZnO3ryEzxQY7MmR0tIOE1Wujyr1FzseLt5TeDQV0,,,,,,,,,,,,,,,,
Web3创作者经济的引领者 --- Mirror,https://mirror.xyz/0xa1E0D9FD60e0664A50E0828353fc9ADB6A8eED74/PwXppErDPMFpaDdyRxDgoOi-2K5A-lAeMwmE-NquGVg,,,,,,,,,,,,,,,,
监督抓到底，坚决夺取脱贫攻坚战全面胜利,https://mirror.xyz/0xa7043687C4be030E7Ed21d11E8f1D2bC7Bb24d45/ME5rsh9vnoRlqls2wDH7O7uO4YdrYGa18LikG9KybXo,,,,,,,,,,,,,,,,
「实操」Mirror最全面功能详解，玩转创作者经济,https://mirror.xyz/0xa1E0D9FD60e0664A50E0828353fc9ADB6A8eED74/0E-EvgN--VQa3C7-9qSOs1vUHyfv4XZFro2EUuRxkw0,,,,,,,,,,,,,,,,
how to make money,https://mirror.xyz/0xe4E9819C535c64F8bA4E531A89a59B84Db484283/YTcC1hyUX9ARF8EKTJPIgYIRgcgLh1ldiMebUFFy32s,,,,,,,,,,,,,,,,
be careful,https://mirror.xyz/0x735310e9A1A2BbA3A0436821d86Bb56845Ed58BC/OIujltY0aPQD4mFGkwfhgHvQMtFcEoSl4H-wT1xxbao,,,,,,,,,,,,,,,,
【Terra生态收益聚合器ApolloDAO将于11月24日推出代币APOLLO】,https://mirror.xyz/0xaF7F5e2B1d4E153bA706Fe2386FD83259Db6384A/CIP_ZU6MYKK9D4MMx-PwnciyTwHaWlymbRI3tLVeT6Y,,,,,,,,,,,,,,,,
【加密资管公司Osprey Funds将推出Osprey NFT基金，主要针对机构和高净值投资者】,https://mirror.xyz/0xaF7F5e2B1d4E153bA706Fe2386FD83259Db6384A/VkyDgZv2MbqOMQFKW_xDvUsOPzx-936xArLHwbosGao,,,,,,,,,,,,,,,,
【蚂蚁链将于 11 月 20 日起陆续开放数字藏品转赠功能，但不支持有偿转赠】,https://mirror.xyz/0xaF7F5e2B1d4E153bA706Fe2386FD83259Db6384A/A5xlM5XlwL3o5bDU0wPr_75YdKHX7l8SErrnQBpgLq4,,,,,,,,,,,,,,,,
【美国SEC指控一加州男子进行欺诈性证券发行，该男子募集超360万美元比特币但挪用超100万美元于个人开支】,https://mirror.xyz/0xaF7F5e2B1d4E153bA706Fe2386FD83259Db6384A/ne0CQtAHFo3POQ11nnZFshDNhRGXJFMqYKAUHAYDKcU,,,,,,,,,,,,,,,,
【链闻推荐】观点：DAO 是实现公平协调千载难逢的机会,https://mirror.xyz/0xaF7F5e2B1d4E153bA706Fe2386FD83259Db6384A/9DqT4V56w8m8n0WhOGnhps_TWwe0xP4CaRXOt-igNsI,,,,,,,,,,,,,,,,
【Chainlink 智能合约自动执行工具 Chainlink Keepers 在 Polygon 上线】,https://mirror.xyz/0xaF7F5e2B1d4E153bA706Fe2386FD83259Db6384A/OsNyROZ15OowbH0YyHPL_A2z3iiB1cT1_FB3bGNu0Ko,,,,,,,,,,,,,,,,
【Augur 将通过使用 DXdao 结构引入 AugurDAO，但治理将由 REPv2 持有者推动】,https://mirror.xyz/0xaF7F5e2B1d4E153bA706Fe2386FD83259Db6384A/aoVnZ6T9nI0zERp4tBSmqYVxmAoRLlvRyHiJKwY9GIY,,,,,,,,,,,,,,,,
【加密托管公司Copper正以30亿美元的估值寻求5亿美元融资】,https://mirror.xyz/0xaF7F5e2B1d4E153bA706Fe2386FD83259Db6384A/_J7fyVrSCmm2N-WJOBOYBPnO7ycqKIB9wDiFrlddUsQ,,,,,,,,,,,,,,,,
泰山梁甫行,https://mirror.xyz/0x5D076c3C4F7Bf2dB6831c90FC8f1539e07ff71d1/iSFgcXEiPkU7ehhuJSOqywrbrhqkijRV64OysIlkHJw,,,,,,,,,,,,,,,,
VC Needs Web3 More Than Web3 Needs VC,https://mirror.xyz/0xdEb3348Eb6fa98193cE2229a5B71175edb5F5f76/4wDicgYAjuc_orutZSJszys4Am3kRuLKkjlmjOBBbXI,,,,,,,,,,,,,,,,
十部好看的爱情电影,https://mirror.xyz/0x2Be2aD8AED8d10bF088815E6EE9273aB969fA5a5/vo1GbiEOSfyZXgwHwDTwNxXWItZ30wihzV45HGMbg4k,,,,,,,,,,,,,,,,
步出夏门行·龟虽寿,https://mirror.xyz/0x22A93539E28418b7E481D6Ad3b288570E349270c/l9flkaiFNtbAYS31bnNvA5dXdLkTjVfaYseMkvFL3RM,,,,,,,,,,,,,,,,
全球最吓人的十部鬼片推荐 13部吓死过人的恐怖鬼片,https://mirror.xyz/0x2Be2aD8AED8d10bF088815E6EE9273aB969fA5a5/WeM-iWLaNv9UhKxvglAAFsRRKFv2xJEHNgZ_NCBXOK4,,,,,,,,,,,,,,,,
community design,https://mirror.xyz/0xdF3AB3adB9F679d71b9A22ab77565b1FF3A5047D/XwYLAeZGHBwsqoH8dxiYaTHyuEVWBIGhVeIIDbDRCXs,,,,,,,,,,,,,,,,
What are NFTs and why is everyone talking about them?,https://mirror.xyz/0xF10f154ecda0584A440FFcaBa245c4E88d87142A/GAKU2ouLIYEz5Mh7G6_nuycretGjWQAoJ2JdHoNqHIU,,,,,,,,,,,,,,,,
211119-除了定投比特币和以太坊，还应该定投什么？,https://mirror.xyz/0x21aB285888c2d0EAe0d356C6aa964328BF7fEa9c/4CKcV03-iCCN0i_LEAsr2cxgxEMHpNi0WYBomyMjNq0,,,,,,,,,,,,,,,,
大叔与年轻人的故事,https://mirror.xyz/0xcDB17030d9B2B9A37f4b0A998023c0E9e229B59b/X8m0NUhFU4cy-1nJBltXTXLAEiiFiIwjBxd94pkpLHs,,,,,,,,,,,,,,,,
百度安全验证,https://mirror.xyz/0xE44F8e4b1dbA87AFddC5970F9d0Ce64e9593Acd5/buDTiUpxTsD4g8gFvomq0YemAWEcXapHNJ6XlwwmSRQ,,,,,,,,,,,,,,,,
